Province/ Region/ City	Population (10,000s)	In last 24 hours	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9
 	 	Confirmed cases	Suspected cases	Deaths	Confirmed cases	Deaths	 	 	 
Hubei	5917.0	115	52	37	67332	2871	 	 	 
Guangdong	11346.0	0	0	0	1350	7	 	 	 
Henan	9605.0	0	0	0	1272	22	 	 	 
Zhejiang	5737.0	0	2	0	1213	1	 	 	 
Hunan	6899.0	0	0	0	1018	4	 	 	 
Anhui	6324.0	0	0	0	990	6	 	 	 
Jiangxi	4648.0	0	0	0	935	1	 	 	 
Shandong	10047.0	0	0	0	758	6	 	 	 
Jiangsu	8051.0	0	0	0	631	0	 	 	 
Chongqing	3102.0	0	1	0	576	6	 	 	 
Sichuan	8341.0	0	1	0	538	3	 	 	 
Heilongjiang	3773.0	0	2	0	480	13	 	 	 
Beijing	2154.0	3	11	0	417	8	 	 	 
Shanghai	2424.0	0	19	0	338	3	 	 	 
Hebei	7556.0	0	0	0	318	6	 	 	 
Fujian	3941.0	0	0	0	296	1	 	 	 
Guangxi	4926.0	0	0	0	252	2	 	 	 
Shaanxi	3864.0	0	0	0	245	1	 	 	 
Yunnan	4830.0	0	2	0	174	2	 	 	 
Hainan	934.0	0	0	0	168	5	 	 	 
Guizhou	3600.0	0	0	0	146	2	 	 	 
Tianjin	1560.0	0	17	0	136	3	 	 	 
Shanxi	3718.0	0	0	0	133	0	 	 	 
Liaoning	4359.0	0	36	0	125	1	 	 	 
Hong Kong SAR	745.0	0	0	0	100	2	 	 	 
Jilin	2704.0	0	0	0	93	1	 	 	 
Gansu	2637.0	0	0	0	91	2	 	 	 
Xinjiang	2487.0	0	0	0	76	3	 	 	 
Ningxia	688.0	1	0	0	75	0	 	 	 
Inner Mongolia	2534.0	0	0	1	75	1	 	 	 
Taipei and environs	2359.0	1	0	0	42	1	 	 	 
Qinghai	603.0	0	0	0	18	0	 	 	 
Macao SAR	66.0	0	0	0	10	0	 	 	 
Xizang	344.0	0	0	0	1	0	 	 	 
Total	142823.0	120	143	38	80422	2984	 	 	 
Reporting Country	confirmed* cases Total	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification†	Days since last reported case**	 	 	 
Western Pacific Region	 	 	 	 	 	 	 	 	 
Republic of Korea	5328	516	32	4	Local transmission	0	 	 	 
Japan	284	16	6	0	Local transmission	0	 	 	 
Singapore	110	2	0	0	Local transmission	0	 	 	 
Malaysia	50	21	0	0	Local transmission	0	 	 	 
Australia	43	10	1	0	Local transmission	0	 	 	 
Viet Nam	16	0	0	0	Local transmission	20	 	 	 
Philippines	3	0	1	0	Imported cases only	28	 	 	 
New Zealand	2	0	0	0	Imported cases only	1	 	 	 
Cambodia	1	0	0	0	Imported cases only	36	 	 	 
European Region	 	 	 	 	 	 	 	 	 
Italy	2502	466	80	28	Local transmission	0	 	 	 
France	212	21	4	1	Local transmission	0	 	 	 
Germany	196	39	0	0	Local transmission	0	 	 	 
Spain	151	37	0	0	Local transmission	0	 	 	 
the United Kingdom¶	51	12	0	0	Local transmission	0	 	 	 
Switzerland	37	7	0	0	Local transmission	0	 	 	 
Norway	33	7	0	0	Local transmission	0	 	 	 
Netherlands	28	10	0	0	Local transmission	0	 	 	 
Austria	24	6	0	0	Imported cases only	0	 	 	 
Sweden	24	9	0	0	Local transmission	0	 	 	 
Iceland	16	7	0	0	Imported cases only	0	 	 	 
Israel	12	2	0	0	Local transmission	0	 	 	 
Croatia	9	1	0	0	Local transmission	0	 	 	 
Belgium	8	0	0	0	Imported cases only	1	 	 	 
Denmark	8	3	0	0	Local transmission	0	 	 	 
San Marino	8	0	0	0	Local transmission	1	 	 	 
Finland	7	0	0	0	Local transmission	1	 	 	 
Greece	7	0	0	0	Local transmission	2	 	 	 
Czechia	5	2	0	0	Imported cases only	0	 	 	 
Romania	4	1	0	0	Local transmission	0	 	 	 
Azerbaijan	3	0	0	0	Imported cases only	3	 	 	 
Georgia	3	0	0	0	Imported cases only	3	 	 	 
Russian Federation	3	0	0	0	Imported cases only	1	 	 	 
Estonia	2	1	0	0	Imported cases only	0	 	 	 
Ireland	2	1	0	0	Imported cases only	0	 	 	 
